Cycle,Radial Frequency Bin,Power
10,51,0.001443689654957719
10,52,0.0012526333329227716
10,53,0.0010424473086923952
10,54,0.0010511150116099119
10,55,0.0008820742354121974
10,56,0.0008488459892791798
10,57,0.0007312015225804683
10,58,0.0006495412728250062
10,59,0.0006669426618062668
10,60,0.000562567450368607
10,61,0.0004886324229057485
10,62,0.00047223701456079866
10,63,0.0004381036380748218
10,64,8.64259580539624e-05
10,65,6.6367818921433464e-06
10,66,8.041165755493894e-07
10,67,1.1906165449811388e-07
10,68,1.4030560790650074e-08
10,69,1.4706176551201205e-09
10,70,5.26236734172632e-10
10,71,4.351500785721042e-10
10,72,3.816008772588601e-10
10,73,3.440058671373696e-10
10,74,3.0627053672868906e-10
10,75,2.8072439156524017e-10
10,76,2.586025077784578e-10
10,77,2.3391900578267397e-10
10,78,2.190786855052571e-10
10,79,2.0171044495149404e-10
10,80,1.8753930412959745e-10
10,81,1.7667800457056165e-10
10,82,1.6417267902797433e-10
10,83,1.5501357426738856e-10
10,84,1.4458501415773734e-10
10,85,1.3602410890109324e-10
10,86,1.292917647319738e-10
10,87,1.232251207603627e-10
10,88,1.1752425010391064e-10
10,89,1.1234596452827779e-10
